,Unnamed: 0,LocationID,Borough,Zone,service_zone,Address,Latitude,Longitude,New ID
155,155,156,Staten Island,Mariners Harbor,Boro Zone,"Mariners Harbor, Staten Island",40.6367701,-74.1587546,156
156,156,157,Queens,Maspeth,Boro Zone,"Maspeth, Queens",40.723158000000005,-73.91263690000001,157
157,157,158,Manhattan,Meatpacking/West Village West,Yellow Zone,"Meatpacking/West Village West, Manhattan",40.783429999999996,-73.96625,158
158,158,159,Bronx,Melrose South,Boro Zone,"Melrose South, Bronx",40.82732,-73.92357,143
159,159,160,Queens,Middle Village,Boro Zone,"Middle Village, Queens",40.7182602,-73.8786752,48
160,160,161,Manhattan,Midtown Center,Yellow Zone,"Midtown Center, Manhattan",40.783429999999996,-73.96625,84
161,161,162,Manhattan,Midtown East,Yellow Zone,"Midtown East, Manhattan",40.7509,-73.96441999999999,159
162,162,163,Manhattan,Midtown North,Yellow Zone,"Midtown North, Manhattan",40.7677778,-73.9913888,146
163,163,164,Manhattan,Midtown South,Yellow Zone,"Midtown South, Manhattan",40.783429999999996,-73.96625,69
164,164,165,Brooklyn,Midwood,Boro Zone,"Midwood, Brooklyn",40.618882299999996,-73.96548879999999,49
165,165,166,Manhattan,Morningside Heights,Boro Zone,"Morningside Heights, Manhattan",40.81,-73.96249990000001,166
166,166,167,Bronx,Morrisania/Melrose,Boro Zone,"Morrisania/Melrose, Bronx",40.8310911,-73.919947,117
167,167,168,Bronx,Mott Haven/Port Morris,Boro Zone,"Mott Haven/Port Morris, Bronx",40.803445200000006,-73.9178709,48
168,168,169,Bronx,Mount Hope,Boro Zone,"Mount Hope, Bronx",40.848485700000005,-73.90657009999998,169
169,169,170,Manhattan,Murray Hill,Yellow Zone,"Murray Hill, Manhattan",40.7481574,-73.97874990000001,48
170,170,171,Queens,Murray Hill-Queens,Boro Zone,"Murray Hill-Queens, Queens",40.76,-73.8130555,101
171,171,172,Staten Island,New Dorp/Midland Beach,Boro Zone,"New Dorp/Midland Beach, Staten Island",40.573159999999994,-74.09459,74
172,172,173,Queens,North Corona,Boro Zone,"North Corona, Queens",40.7450757,-73.84898829999999,173
173,173,174,Bronx,Norwood,Boro Zone,"Norwood, Bronx",40.8772593,-73.8768625,94
174,174,175,Queens,Oakland Gardens,Boro Zone,"Oakland Gardens, Queens",40.753991,-73.76596590000001,19
175,175,176,Staten Island,Oakwood,Boro Zone,"Oakwood, Staten Island",40.563994,-74.1159753,17
176,176,177,Brooklyn,Ocean Hill,Boro Zone,"Ocean Hill, Brooklyn",40.67573170000001,-73.91243370000001,177
177,177,178,Brooklyn,Ocean Parkway South,Boro Zone,"Ocean Parkway South, Brooklyn",40.68399,-73.99542,36
178,178,179,Queens,Old Astoria,Boro Zone,"Old Astoria, Queens",40.77205,-73.93014000000001,38
179,179,180,Queens,Ozone Park,Boro Zone,"Ozone Park, Queens",40.67677,-73.843746,8
180,180,181,Brooklyn,Park Slope,Boro Zone,"Park Slope, Brooklyn",40.6701033,-73.9859722,181
181,181,182,Bronx,Parkchester,Boro Zone,"Parkchester, Bronx",40.8389893,-73.8604127,112
182,182,183,Bronx,Pelham Bay,Boro Zone,"Pelham Bay, Bronx",40.85055560000001,-73.8333332,183
183,183,184,Bronx,Pelham Bay Park,Boro Zone,"Pelham Bay Park, Bronx",40.854131,-73.82217320000001,4
184,184,185,Bronx,Pelham Parkway,Boro Zone,"Pelham Parkway, Bronx",40.8592515,-73.8551583,184
